Date,Open,High,Low,Close,Adj Close,Volume,Bank
1989-01-02,431.359497,431.359497,431.359497,431.359497,181.694244,0.0,NatWest_Bank
1989-01-03,428.894592,428.894592,428.894592,428.894592,180.656036,0.0,NatWest_Bank
1989-01-04,431.359497,431.359497,431.359497,431.359497,181.694244,0.0,NatWest_Bank
1989-01-05,431.9758,431.9758,431.9758,431.9758,181.953842,0.0,NatWest_Bank
1989-01-06,437.52179,437.52179,437.52179,437.52179,184.289917,0.0,NatWest_Bank
1989-01-09,438.754303,438.754303,438.754303,438.754303,184.809036,0.0,NatWest_Bank
1989-01-10,441.219208,441.219208,441.219208,441.219208,185.84729,0.0,NatWest_Bank
1989-01-11,444.916504,444.916504,444.916504,444.916504,187.404617,0.0,NatWest_Bank
1989-01-12,452.31131,452.31131,452.31131,452.31131,190.51947,0.0,NatWest_Bank
1989-01-13,453.543701,453.543701,453.543701,453.543701,191.038513,0.0,NatWest_Bank
1989-01-16,456.008606,456.008606,456.008606,456.008606,192.076752,0.0,NatWest_Bank
1989-01-17,454.776215,454.776215,454.776215,454.776215,191.557724,0.0,NatWest_Bank
1989-01-18,457.241089,457.241089,457.241089,457.241089,192.595932,0.0,NatWest_Bank
1989-01-19,457.241089,457.241089,457.241089,457.241089,192.595932,0.0,NatWest_Bank
1989-01-20,457.241089,457.241089,457.241089,457.241089,192.595932,0.0,NatWest_Bank
1989-01-23,469.565704,469.565704,469.565704,469.565704,197.787186,0.0,NatWest_Bank
1989-01-24,470.798096,470.798096,470.798096,470.798096,198.30632,0.0,NatWest_Bank
1989-01-25,467.100708,467.100708,467.100708,467.100708,196.748947,0.0,NatWest_Bank
1989-01-26,470.798096,470.798096,470.798096,470.798096,198.30632,0.0,NatWest_Bank
1989-01-27,476.960388,476.960388,476.960388,476.960388,200.901947,0.0,NatWest_Bank
1989-01-30,502.84201,502.84201,502.84201,502.84201,211.803604,0.0,NatWest_Bank
1989-01-31,500.377106,500.377106,500.377106,500.377106,210.765442,0.0,NatWest_Bank
1989-02-01,488.05249,488.05249,488.05249,488.05249,205.574127,0.0,NatWest_Bank
1989-02-02,489.285004,489.285004,489.285004,489.285004,206.093216,0.0,NatWest_Bank
1989-02-03,496.679688,496.679688,496.679688,496.679688,209.207962,0.0,NatWest_Bank
1989-02-06,496.679688,496.679688,496.679688,496.679688,209.207962,0.0,NatWest_Bank
1989-02-07,496.679688,496.679688,496.679688,496.679688,209.207962,0.0,NatWest_Bank
1989-02-08,512.701599,512.701599,512.701599,512.701599,215.956573,0.0,NatWest_Bank
1989-02-09,506.539307,506.539307,506.539307,506.539307,213.361008,0.0,NatWest_Bank
1989-02-10,500.377106,500.377106,500.377106,500.377106,210.765442,0.0,NatWest_Bank
1989-02-13,489.285004,489.285004,489.285004,489.285004,206.093216,0.0,NatWest_Bank
1989-02-14,485.587585,485.587585,485.587585,485.587585,204.535812,0.0,NatWest_Bank
1989-02-15,485.587585,485.587585,485.587585,485.587585,204.535812,0.0,NatWest_Bank
1989-02-16,485.587585,485.587585,485.587585,485.587585,204.535812,0.0,NatWest_Bank
1989-02-17,495.447205,495.447205,495.447205,495.447205,208.688812,0.0,NatWest_Bank
1989-02-20,499.144592,499.144592,499.144592,499.144592,210.246246,0.0,NatWest_Bank
1989-02-21,497.912109,497.912109,497.912109,497.912109,209.727127,0.0,NatWest_Bank
1989-02-22,484.355103,484.355103,484.355103,484.355103,204.016647,0.0,NatWest_Bank
1989-02-23,479.425293,479.425293,479.425293,479.425293,201.940216,0.0,NatWest_Bank
1989-02-24,474.495514,474.495514,474.495514,474.495514,199.863693,0.0,NatWest_Bank
1989-02-27,472.030609,472.030609,472.030609,472.030609,198.82547,0.0,NatWest_Bank
1989-02-28,476.960388,476.960388,476.960388,476.960388,200.901947,0.0,NatWest_Bank
1989-03-01,472.030609,472.030609,472.030609,472.030609,198.82547,0.0,NatWest_Bank
1989-03-02,476.960388,476.960388,476.960388,476.960388,200.901947,0.0,NatWest_Bank
1989-03-03,475.727905,475.727905,475.727905,475.727905,200.382813,0.0,NatWest_Bank
1989-03-06,474.495514,474.495514,474.495514,474.495514,199.863693,0.0,NatWest_Bank
1989-03-07,474.495514,474.495514,474.495514,474.495514,199.863693,0.0,NatWest_Bank
1989-03-08,476.960388,476.960388,476.960388,476.960388,200.901947,0.0,NatWest_Bank
1989-03-09,476.960388,476.960388,476.960388,476.960388,200.901947,0.0,NatWest_Bank
1989-03-10,476.960388,476.960388,476.960388,476.960388,200.901947,0.0,NatWest_Bank
1989-03-13,478.192902,478.192902,478.192902,478.192902,201.421036,0.0,NatWest_Bank
1989-03-14,492.9823,492.9823,492.9823,492.9823,207.650574,0.0,NatWest_Bank
1989-03-15,491.749908,491.749908,491.749908,491.749908,207.13147,0.0,NatWest_Bank
1989-03-16,491.749908,491.749908,491.749908,491.749908,207.13147,0.0,NatWest_Bank
1989-03-17,485.587585,485.587585,485.587585,485.587585,204.535812,0.0,NatWest_Bank
1989-03-20,485.587585,485.587585,485.587585,485.587585,204.535812,0.0,NatWest_Bank
1989-03-21,485.587585,485.587585,485.587585,485.587585,204.535812,0.0,NatWest_Bank
1989-03-22,481.890198,481.890198,481.890198,481.890198,202.978424,0.0,NatWest_Bank
1989-03-23,483.122711,483.122711,483.122711,483.122711,203.49762,0.0,NatWest_Bank
1989-03-24,483.122711,483.122711,483.122711,483.122711,203.49762,0.0,NatWest_Bank
1989-03-27,483.122711,483.122711,483.122711,483.122711,203.49762,0.0,NatWest_Bank
1989-03-28,485.587585,485.587585,485.587585,485.587585,204.535812,0.0,NatWest_Bank
1989-03-29,484.355103,484.355103,484.355103,484.355103,204.016647,0.0,NatWest_Bank
1989-03-30,478.192902,478.192902,478.192902,478.192902,201.421036,0.0,NatWest_Bank
1989-03-31,480.657806,480.657806,480.657806,480.657806,202.45932,0.0,NatWest_Bank
1989-04-03,473.263,473.263,473.263,473.263,199.344574,0.0,NatWest_Bank
1989-04-04,474.495514,474.495514,474.495514,474.495514,199.863693,0.0,NatWest_Bank
1989-04-05,476.960388,476.960388,476.960388,476.960388,200.901947,0.0,NatWest_Bank
1989-04-06,475.727905,475.727905,475.727905,475.727905,200.382813,0.0,NatWest_Bank
1989-04-07,474.495514,474.495514,474.495514,474.495514,199.863693,0.0,NatWest_Bank
1989-04-10,472.030609,472.030609,472.030609,472.030609,198.82547,0.0,NatWest_Bank
1989-04-11,468.333191,468.333191,468.333191,468.333191,197.268051,0.0,NatWest_Bank
1989-04-12,474.495514,474.495514,474.495514,474.495514,199.863693,0.0,NatWest_Bank
1989-04-13,474.495514,474.495514,474.495514,474.495514,199.863693,0.0,NatWest_Bank
1989-04-14,476.960388,476.960388,476.960388,476.960388,200.901947,0.0,NatWest_Bank
1989-04-17,474.495514,474.495514,474.495514,474.495514,199.863693,0.0,NatWest_Bank
1989-04-18,475.727905,475.727905,475.727905,475.727905,200.382813,0.0,NatWest_Bank
1989-04-19,475.727905,475.727905,475.727905,475.727905,200.382813,0.0,NatWest_Bank
1989-04-20,470.798096,470.798096,470.798096,470.798096,198.30632,0.0,NatWest_Bank
1989-04-21,468.333191,468.333191,468.333191,468.333191,197.268051,0.0,NatWest_Bank
1989-04-24,470.798096,470.798096,470.798096,470.798096,198.30632,0.0,NatWest_Bank
1989-04-25,468.333191,468.333191,468.333191,468.333191,197.268051,0.0,NatWest_Bank
1989-04-26,470.798096,470.798096,470.798096,470.798096,198.30632,0.0,NatWest_Bank
1989-04-27,467.100708,467.100708,467.100708,467.100708,196.748947,0.0,NatWest_Bank
1989-04-28,472.030609,472.030609,472.030609,472.030609,198.82547,0.0,NatWest_Bank
1989-05-01,472.030609,472.030609,472.030609,472.030609,198.82547,0.0,NatWest_Bank
1989-05-02,473.263,473.263,473.263,473.263,199.344574,0.0,NatWest_Bank
1989-05-03,468.333191,468.333191,468.333191,468.333191,197.268051,0.0,NatWest_Bank
1989-05-04,469.565704,469.565704,469.565704,469.565704,197.787186,0.0,NatWest_Bank
1989-05-05,470.798096,470.798096,470.798096,470.798096,198.30632,0.0,NatWest_Bank
1989-05-08,464.635803,464.635803,464.635803,464.635803,195.710663,0.0,NatWest_Bank
1989-05-09,469.565704,469.565704,469.565704,469.565704,197.787186,0.0,NatWest_Bank
1989-05-10,474.495514,474.495514,474.495514,474.495514,199.863693,0.0,NatWest_Bank
1989-05-11,473.263,473.263,473.263,473.263,199.344574,0.0,NatWest_Bank
1989-05-12,478.192902,478.192902,478.192902,478.192902,201.421036,0.0,NatWest_Bank
1989-05-15,485.587585,485.587585,485.587585,485.587585,204.535812,0.0,NatWest_Bank
1989-05-16,484.355103,484.355103,484.355103,484.355103,204.016647,0.0,NatWest_Bank
1989-05-17,485.587585,485.587585,485.587585,485.587585,204.535812,0.0,NatWest_Bank
1989-05-18,484.355103,484.355103,484.355103,484.355103,204.016647,0.0,NatWest_Bank
1989-05-19,481.890198,481.890198,481.890198,481.890198,202.978424,0.0,NatWest_Bank
1989-05-22,479.425293,479.425293,479.425293,479.425293,201.940216,0.0,NatWest_Bank
1989-05-23,476.960388,476.960388,476.960388,476.960388,200.901947,0.0,NatWest_Bank
1989-05-24,473.263,473.263,473.263,473.263,199.344574,0.0,NatWest_Bank
1989-05-25,470.798096,470.798096,470.798096,470.798096,198.30632,0.0,NatWest_Bank
1989-05-26,469.565704,469.565704,469.565704,469.565704,197.787186,0.0,NatWest_Bank
1989-05-29,469.565704,469.565704,469.565704,469.565704,197.787186,0.0,NatWest_Bank
1989-05-30,468.333191,468.333191,468.333191,468.333191,197.268051,0.0,NatWest_Bank
1989-05-31,467.100708,467.100708,467.100708,467.100708,196.748947,0.0,NatWest_Bank
1989-06-01,468.333191,468.333191,468.333191,468.333191,197.268051,0.0,NatWest_Bank
1989-06-02,463.403412,463.403412,463.403412,463.403412,195.191574,0.0,NatWest_Bank
1989-06-05,462.170898,462.170898,462.170898,462.170898,194.67244,0.0,NatWest_Bank
1989-06-06,467.100708,467.100708,467.100708,467.100708,196.748947,0.0,NatWest_Bank
1989-06-07,465.868286,465.868286,465.868286,465.868286,196.229843,0.0,NatWest_Bank
1989-06-08,474.495514,474.495514,474.495514,474.495514,199.863693,0.0,NatWest_Bank
1989-06-09,478.192902,478.192902,478.192902,478.192902,201.421036,0.0,NatWest_Bank
1989-06-12,475.727905,475.727905,475.727905,475.727905,200.382813,0.0,NatWest_Bank
1989-06-13,472.030609,472.030609,472.030609,472.030609,198.82547,0.0,NatWest_Bank
1989-06-14,473.263,473.263,473.263,473.263,199.344574,0.0,NatWest_Bank
1989-06-15,468.333191,468.333191,468.333191,468.333191,197.268051,0.0,NatWest_Bank
1989-06-16,468.333191,468.333191,468.333191,468.333191,197.268051,0.0,NatWest_Bank
1989-06-19,467.100708,467.100708,467.100708,467.100708,196.748947,0.0,NatWest_Bank
1989-06-20,468.333191,468.333191,468.333191,468.333191,197.268051,0.0,NatWest_Bank
1989-06-21,468.333191,468.333191,468.333191,468.333191,197.268051,0.0,NatWest_Bank
1989-06-22,465.868286,465.868286,465.868286,465.868286,196.229843,0.0,NatWest_Bank
